,ID,Reached_3w,Reached_3m,Tenure_In_Months,Date_Joined,FUA_Balance,Number_Of_Services,Has_Payroll,Income,Has_Investment,Has_Visa,VISA_balance,Has_mortgage,Has_Deposit,Number_Transactions,Age,City,Unnamed: 17
84,138177.0,1.0,1.0,3.0,11/6/2020,1076008.07,3.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,59.0,VANCOUVER                                                                                           ,
85,140252.0,1.0,1.0,3.0,7/18/2020,25.0,1.0,1.0,,1.0,1.0,0.0,0.0,1.0,4.0,65.0,PITT MEADOWS                                                                                        ,
86,143459.0,1.0,1.0,3.0,3/25/2020,500000.0,2.0,1.0,,0.0,1.0,1146.161988,1.0,1.0,0.0,71.0,BOWEN ISLAND                                                                                        ,
87,144138.0,0.0,0.0,3.0,1/13/2021,649088.97,2.0,0.0,,1.0,1.0,0.0,0.0,1.0,0.0,39.0,SURREY                                                                                              ,
88,146990.0,0.0,0.0,3.0,4/15/2020,450308.13,3.0,1.0,,0.0,1.0,0.0,1.0,1.0,0.0,61.0,DELTA                                                                                               ,
89,148871.0,0.0,0.0,3.0,9/8/2020,4212.33,3.0,0.0,,0.0,1.0,1551.856075,0.0,1.0,87.0,40.0,VICTORIA                                                                                            ,
90,149011.0,0.0,0.0,3.0,2/16/2021,2767.43,3.0,0.0,,0.0,1.0,0.0,0.0,1.0,8.0,50.0,VANCOUVER                                                                                           ,
91,152065.0,0.0,0.0,3.0,3/26/2020,193155.29,2.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,37.0,GARIBALDI HIGHLANDS                                                                                 ,
92,153246.0,1.0,1.0,3.0,4/16/2020,632386.2823,2.0,1.0,,0.0,1.0,260.2847383,1.0,1.0,0.0,37.0,VANCOUVER                                                                                           ,
93,154983.0,0.0,0.0,3.0,3/25/2020,719852.94,3.0,1.0,,0.0,1.0,429.4122115,1.0,1.0,2.0,52.0,VANCOUVER                                                                                           ,
94,156400.0,1.0,1.0,3.0,8/12/2020,21689.47,2.0,1.0,,1.0,1.0,0.0,0.0,1.0,47.0,46.0,VANCOUVER                                                                                           ,
95,156823.0,0.0,0.0,3.0,1/19/2021,1419172.98,2.0,1.0,,1.0,0.0,0.0,0.0,1.0,1.0,59.0,VANCOUVER                                                                                           ,
96,157751.0,0.0,0.0,3.0,4/2/2020,250020.0,2.0,0.0,,0.0,1.0,2482.496154,0.0,1.0,0.0,85.0,SURREY                                                                                              ,
97,160099.0,1.0,1.0,3.0,12/21/2020,87085.18,3.0,0.0,,0.0,1.0,1172.028391,0.0,1.0,3.0,64.0,GARDEN BAY                                                                                          ,
98,160983.0,0.0,0.0,3.0,6/2/2020,427738.252,3.0,1.0,,0.0,1.0,2376.783603,1.0,1.0,100.0,72.0,SURREY                                                                                              ,
99,161246.0,0.0,0.0,3.0,2/19/2021,620425.81,3.0,1.0,,0.0,1.0,1454.791621,0.0,1.0,0.0,82.0,SURREY                                                                                              ,
100,161510.0,0.0,0.0,3.0,1/20/2021,6256.25,2.0,1.0,,1.0,1.0,2209.574845,0.0,1.0,0.0,47.0,VANCOUVER                                                                                           ,
101,161680.0,1.0,1.0,3.0,12/21/2020,7099.06,3.0,1.0,,0.0,1.0,0.0,0.0,1.0,21.0,81.0,BURNABY                                                                                             ,
102,165547.0,1.0,1.0,3.0,9/3/2020,0.0,1.0,1.0,,1.0,1.0,2103.083622,0.0,1.0,3.0,63.0,SURREY                                                                                              ,
103,167243.0,0.0,0.0,3.0,1/5/2021,100000.07,2.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,57.0,OSOYOOS                                                                                             ,
104,167609.0,1.0,1.0,3.0,5/13/2020,375958.59,3.0,1.0,,0.0,1.0,1741.993324,0.0,1.0,1.0,32.0,MISSION                                                                                             ,
105,170220.0,1.0,1.0,3.0,7/18/2020,529533.63,3.0,1.0,,0.0,0.0,0.0,0.0,1.0,11.0,40.0,NEW WESTMINSTER                                                                                     ,
106,172736.0,0.0,0.0,3.0,9/1/2020,1254294.36,3.0,0.0,,0.0,1.0,0.0,0.0,1.0,2.0,53.0,WEST VANCOUVER                                                                                      ,
107,173755.0,1.0,1.0,3.0,7/7/2020,3662.1,2.0,1.0,,0.0,1.0,691.1146433,0.0,1.0,17.0,54.0,VANCOUVER                                                                                           ,
108,175683.0,1.0,1.0,3.0,2/1/2021,194.85,3.0,1.0,,0.0,1.0,59.89095241,0.0,1.0,4.0,78.0,LANGLEY                                                                                             ,
109,178092.0,0.0,0.0,3.0,4/28/2020,402442.35,3.0,1.0,,1.0,1.0,2084.663874,1.0,1.0,0.0,52.0,MAPLE RIDGE                                                                                         ,
110,178237.0,1.0,1.0,3.0,5/12/2020,1199910.37,2.0,0.0,,0.0,0.0,0.0,1.0,1.0,5.0,69.0,NORTH VANCOUVER                                                                                     ,
111,178724.0,1.0,1.0,3.0,4/21/2020,596858.3341,2.0,1.0,174957.039,0.0,1.0,1954.664503,1.0,1.0,1.0,35.0,RICHMOND                                                                                            ,
112,180050.0,0.0,0.0,3.0,4/25/2020,7586.3,2.0,1.0,,1.0,1.0,2516.467395,0.0,1.0,60.0,49.0,COQUITLAM                                                                                           ,
113,183080.0,1.0,1.0,3.0,5/12/2020,464899.0787,1.0,0.0,,0.0,1.0,285.780266,1.0,1.0,0.0,61.0,BURNABY                                                                                             ,
114,183204.0,0.0,0.0,3.0,12/17/2020,0.0,2.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,54.0,ABBOTSFORD                                                                                          ,
115,183463.0,0.0,0.0,3.0,2/16/2021,1000.45,2.0,0.0,,0.0,1.0,1414.599457,0.0,1.0,3.0,49.0,CHILLIWACK                                                                                          ,
116,184056.0,1.0,1.0,3.0,1/21/2021,1157676.58,4.0,0.0,,0.0,1.0,0.0,0.0,1.0,1.0,52.0,VANCOUVER                                                                                           ,
117,184132.0,1.0,1.0,3.0,6/8/2020,1840.69,4.0,1.0,,0.0,0.0,0.0,0.0,1.0,4.0,73.0,WEST VANCOUVER                                                                                      ,
118,186194.0,0.0,0.0,3.0,5/5/2020,656027.05,3.0,1.0,,0.0,1.0,0.0,1.0,1.0,32.0,38.0,VANCOUVER                                                                                           ,
119,186752.0,0.0,0.0,3.0,6/3/2020,536842.0227,3.0,0.0,81765.00637,0.0,0.0,0.0,1.0,1.0,2.0,60.0,BURNABY                                                                                             ,
120,187248.0,0.0,0.0,3.0,12/10/2020,922553.72,2.0,0.0,,0.0,1.0,0.0,0.0,1.0,2.0,75.0,WHITE ROCK                                                                                          ,
121,189083.0,0.0,0.0,3.0,1/21/2021,18460.55,1.0,0.0,,1.0,1.0,489.9492745,0.0,1.0,3.0,68.0,CHILLIWACK                                                                                          ,
122,189734.0,0.0,0.0,3.0,9/18/2020,393.44,1.0,1.0,,0.0,1.0,0.0,0.0,1.0,48.0,74.0,SURREY                                                                                              ,
123,192698.0,0.0,0.0,3.0,2/17/2021,6155.62,1.0,1.0,,0.0,1.0,0.0,0.0,1.0,23.0,36.0,KAMLOOPS                                                                                            ,
124,194827.0,0.0,0.0,3.0,6/13/2020,989445.21,2.0,1.0,,0.0,1.0,2490.055798,1.0,1.0,1.0,55.0,SURREY                                                                                              ,
125,196713.0,1.0,1.0,3.0,4/2/2020,439415.9734,2.0,0.0,150660.5098,0.0,1.0,0.0,1.0,1.0,0.0,67.0,GIBSONS                                                                                             ,
126,198144.0,0.0,0.0,3.0,2/17/2021,1240.16,2.0,1.0,,0.0,1.0,969.5993047,0.0,1.0,0.0,54.0,PORT COQUITLAM                                                                                      ,
127,198480.0,1.0,1.0,3.0,9/12/2020,48914.68,3.0,0.0,,0.0,1.0,1664.35782,0.0,1.0,4.0,35.0,COQUITLAM                                                                                           ,
128,199098.0,0.0,0.0,3.0,8/14/2020,80.94,1.0,1.0,,0.0,1.0,2207.638981,0.0,1.0,33.0,71.0,SURREY                                                                                              ,
129,199223.0,1.0,1.0,3.0,4/6/2020,30080.0,2.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,76.0,SURREY                                                                                              ,
130,200282.0,0.0,0.0,3.0,7/25/2020,6413.76,2.0,1.0,282193.5001,0.0,1.0,0.0,0.0,1.0,5.0,44.0,VANCOUVER                                                                                           ,
131,201488.0,1.0,1.0,3.0,8/20/2020,19842.5,1.0,0.0,,0.0,1.0,549.3462458,0.0,1.0,1.0,70.0,SURREY                                                                                              ,
132,202040.0,0.0,0.0,3.0,9/12/2020,0.55,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,47.0,PORT MOODY                                                                                          ,
133,202427.0,1.0,1.0,3.0,8/10/2020,4.37,1.0,1.0,,0.0,1.0,0.0,0.0,1.0,23.0,57.0,BURNABY                                                                                             ,
134,203175.0,1.0,1.0,3.0,7/9/2020,100000.0,2.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,74.0,VICTORIA                                                                                            ,
135,204586.0,1.0,1.0,3.0,8/17/2020,7430.86,4.0,1.0,,1.0,1.0,0.0,0.0,1.0,1.0,57.0,VANCOUVER                                                                                           ,
136,205674.0,1.0,1.0,3.0,7/7/2020,296230.48,2.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,42.0,VICTORIA                                                                                            ,
137,209118.0,0.0,0.0,3.0,4/30/2020,224.33,1.0,1.0,,0.0,1.0,466.0007532,0.0,1.0,45.0,55.0,VANCOUVER                                                                                           ,
138,209858.0,0.0,0.0,3.0,6/16/2020,631900.8411,2.0,0.0,,0.0,1.0,0.0,1.0,1.0,0.0,48.0,SURREY                                                                                              ,
139,210175.0,1.0,1.0,3.0,4/2/2020,566113.62,2.0,1.0,,0.0,1.0,816.743606,1.0,1.0,2.0,57.0,MAPLE RIDGE                                                                                         ,
140,210717.0,0.0,0.0,3.0,8/11/2020,563861.67,4.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,60.0,VANCOUVER                                                                                           ,
141,211216.0,1.0,1.0,3.0,4/1/2020,494580.55,3.0,0.0,,0.0,1.0,0.0,1.0,1.0,1.0,46.0,CHILLIWACK                                                                                          ,
142,212414.0,0.0,0.0,3.0,5/2/2020,479.81,3.0,1.0,,0.0,1.0,849.2405687,0.0,1.0,13.0,36.0,SURREY                                                                                              ,
143,213432.0,1.0,1.0,3.0,9/17/2020,64.3,1.0,1.0,,0.0,0.0,0.0,0.0,1.0,12.0,51.0,NORTH VANCOUVER                                                                                     ,
144,213505.0,1.0,1.0,3.0,8/10/2020,672041.37,3.0,1.0,,0.0,1.0,0.0,0.0,1.0,4.0,44.0,COQUITLAM                                                                                           ,
145,214480.0,0.0,0.0,3.0,5/22/2020,462527.4225,1.0,1.0,,0.0,1.0,2070.741114,1.0,1.0,11.0,41.0,NANAIMO                                                                                             ,
146,220881.0,1.0,1.0,3.0,8/26/2020,9249.24,2.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,44.0,NORTH VANCOUVER                                                                                     ,
147,224130.0,0.0,0.0,3.0,1/4/2021,19.65,1.0,1.0,,1.0,0.0,0.0,0.0,1.0,4.0,55.0,SURREY                                                                                              ,
148,230885.0,1.0,1.0,3.0,5/8/2020,605.55,1.0,1.0,,0.0,1.0,1166.965724,0.0,1.0,0.0,36.0,MAPLE RIDGE                                                                                         ,
149,232199.0,0.0,0.0,3.0,7/13/2020,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,35.0,VERNON                                                                                              ,
150,232958.0,0.0,0.0,3.0,3/23/2020,434515.3772,2.0,0.0,,0.0,1.0,0.0,1.0,1.0,4.0,40.0,MAPLE RIDGE                                                                                         ,
151,233435.0,0.0,0.0,3.0,8/18/2020,3526.78,2.0,0.0,,0.0,1.0,221.6336393,0.0,1.0,2.0,47.0,LANGLEY                                                                                             ,
